Semester,Year,Repository,Action,Author,Repo_ID,Assignees,Close_date,Closed_by,Request_Status,Reviewers,Review_Recommendation,Tagged,week
Spring,2022,t0093,issue,p0139,40,p0235,N/A,N/A,open,N/A,N/A,N/A,10
Spring,2022,t0093,issue,p0139,28,p0235,2022-03-28T18:57:38.000Z,N/A,closed,N/A,N/A,N/A,3
Spring,2022,t0093,issue,p0235,7,p0235,2022-05-16T02:07:27.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2022,t0093,issue,p0139,5,p0235,2022-04-27T19:37:40.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0046,issue,p0236,19,p0236,2020-04-11T19:24:29.000Z,N/A,closed,N/A,N/A,N/A,6
Spring,2020,t0046,issue,p0439,13,p0236,2020-03-26T00:46:02.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2020,t0046,issue,p0439,11,p0236,2020-03-26T00:44:54.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0237,55,p0237,2020-12-08T00:55:22.000Z,N/A,closed,N/A,N/A,N/A,12
Fall,2020,t0066,issue,p0237,53,p0237,2020-12-08T00:55:21.000Z,N/A,closed,N/A,N/A,N/A,11
Fall,2020,t0066,issue,p0237,48,p0237,N/A,N/A,open,N/A,N/A,N/A,9
Fall,2020,t0066,issue,p0237,45,p0237,2020-12-01T21:16:08.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0066,issue,p0237,44,p0237,2020-11-16T22:54:54.000Z,N/A,closed,N/A,N/A,N/A,9
Fall,2020,t0066,issue,p0237,40,p0237,2020-12-04T04:43:59.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0066,issue,p0237,38,p0237,2020-11-14T22:19:41.000Z,N/A,closed,N/A,N/A,N/A,7
Fall,2020,t0066,issue,p0237,37,p0237,N/A,N/A,open,N/A,N/A,N/A,7
Fall,2020,t0066,issue,p0237,21,p0237,2020-10-16T17:05:27.000Z,N/A,closed,N/A,N/A,N/A,2
Fall,2020,t0066,issue,p0022,19,p0237,2020-11-16T22:54:54.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0025,17,p0237,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0025,16,p0237,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,13,p0237,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,11,p0237,2020-10-30T05:41:33.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,10,p0237,2020-11-17T21:28:58.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,9,p0237,2020-10-15T21:02:32.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,5,p0237,N/A,N/A,open,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,4,p0237,2020-11-17T21:28:58.000Z,N/A,closed,N/A,N/A,N/A,1
Fall,2020,t0066,issue,p0022,12,p0237;p0464,2020-11-01T00:43:35.000Z,N/A,closed,N/A,N/A,N/A,1
Spring,2019,t0033,issue,p0353,23,p0028;p0369;p0353,N/A,N/A,open,N/A,N/A,N/A,8
Spring,2019,t0033,issue,p0353,19,p0028;p0369;p0353,N/A,N/A,open,N/A,N/A,N/A,5
